RESPNO,FormalPP,InformalPP,TrustPresident,TrustParliament,TrustJudiciary,Age,InterestPublicAffairs,DiscussPolitics,Education
SRL0001,1,3,3,3,1,55,3,2,6
SRL0002,0,3,1,1,0,34,1,0,2
SRL0003,0,4,1,1,2,27,0,0,4
SRL0004,1,1,2,0, ,36,0,0,0
SRL0005,0,4,1,1,0,78,3,0,0
SRL0006,0,1,2,2,0,25,3,1,0
SRL0007,0,1, , , ,35, , ,0
SRL0008,1,2, ,2,1,29,2,1,0
SRL0009,1,4,3,3,3,42,2,1,5
SRL0010,0,0,3,0, ,40,0,0,0
SRL0011,0, ,0, ,2,53,0,0,0
SRL0012,1,4,2,0,0,36,3,0,4
SRL0013,0,4,2,0,1,31,3,0,5
SRL0014,0,4,2,1,1,37,3,1,5
SRL0015,0, ,2, , ,47, , ,0
SRL0016,0,3,2,2, ,34,3,1,1
SRL0017,0,1,3,0,3,52,0,2,4
SRL0018,0,3,3,3,3,30,0,0,3
SRL0019,1,4,3,0,0,47,0,1,4
SRL0020,1,3,0,0,0,28,1,1,5
SRL0021,1,1,2,1,1,23,3,0,4
SRL0022,1,4, ,2,1,65, , ,0
SRL0023,1,3,0,0,2,46, , ,0
SRL0024,1, ,2, , ,45, , ,0
SRL0025,1,2,3,3,3,45,3,2,5
SRL0026,0,0,3,3,3,31,1,1,0
SRL0027,1,0,0,0, ,31,0,0,0
SRL0028,1,3,0,0,0,62,3,2,4
SRL0029,0,1,2,2, ,32,0,0,0
SRL0030,0,3,1,1,0,40,1,0,4
SRL0031,0,3,0,1,1,41,0,0,0
SRL0032,0,0,0, ,3,35, , ,0
SRL0033,1,4,3,3,3,40,1,0,0
SRL0034,0,4,3,0,3,25,1,1,0
SRL0035,0,3,1, , ,22, ,0,0
SRL0036,0,4, , , ,31,2,1,0
SRL0037,0,3,2,1,1,35,0,0,0
SRL0038,0,4,1,0,2,55,3,0,5
SRL0039, , ,1,0, ,55, , ,0
SRL0040,0,3,2, , ,54,3,1,0
SRL0041,0,2,2,1,2,48,0,0,5
SRL0042,0,4,3,3,3,36,3,2,4
SRL0043,0,1,1,0, ,29,0,0,0
SRL0044,0,0,1,1,2,34,0,0,5
SRL0045,0,4,1,0,0,37,0,1,4
SRL0046,1,4,1,1,0,75,3,1,3
SRL0047,0,4,0,0,1,37,3,1,4
SRL0048,1, ,1, , ,36, , ,2
SRL0049,1,1,3,1,3,25,3,2,2
SRL0050,0,1,3,3,3,20,0,0,4
SRL0051,1,4,1,0,0, ,0,1,0
SRL0052,0,4,1,0, , ,0,0,0
SRL0053,1,4,1,0,2,30,3,1,5
SRL0054,0,1,2,2,1,34,3,0,4
SRL0055,1,1, , , ,39, , ,0
SRL0056,0,4,1, , ,25,0,0,4
SRL0057,1,4,3,1,1,42,2,1,0
SRL0058,0,4,3,3,3,45,2,1,1
SRL0059,0,4,2,0,3, ,0,0,0
SRL0060,0,4,1, , ,19,2,1,4
SRL0061,0,4,2,2,2,90,3,0,0
SRL0062,0,2,1,1,1,20,2, ,2
SRL0063,0,1, , , ,56, ,0,0
SRL0064,0,2,1, , ,34, , ,0
SRL0065,0,2,3, ,3,45,2,1,0
SRL0066,1,4,3,3,3,42,3,2,5
SRL0067,1,4,0,0,0,38,1,1,0
SRL0068,1,4, , , ,24,0,0,2
SRL0069,0,4,1,1,1,34,3,0,0
SRL0070,0,0,2,2,1,45,3,0,4
SRL0071,0,2,1, ,1,61, , ,2
SRL0072,0,2,1, , ,31, , ,2
SRL0073,0,1,0,0,0,46,0,0,0
SRL0074,0,4,1,0,0,50,3,0,0
SRL0075,1,4,1,0,0,41,0,0,1
SRL0076,1,4,1,0,0,47,0,1,0
SRL0077,0,4,3,1,2,34,3,1,4
SRL0078,0,4,2,1,1,33,3,0,2
SRL0079,0,2, , , ,51, , ,0
SRL0080,0,1,2, , ,41, , ,2
SRL0081,1,3,3,1,1,54,3,2,5
SRL0082,0,0,3,1, ,29,0,0,0
SRL0083,1,3, , , ,36,0,0,0
SRL0084,0,4,2,0,0,33,2,1,0
SRL0085,0,1,2,2,1,40,3,1,0
SRL0086,1,3,2,1,1,23,3,2,0
SRL0087,1,4,2,2, ,48,1,1,2
SRL0088,0,3,1,0, ,31,2,1,0
SRL0089,0,1,1,1,1,47,2,1,3
SRL0090,0,0,3,1, ,27,0,0,2
SRL0091,0,2,0,0,0,28,0,0,0
SRL0092,0,3,2,0,0,39,2,1,4
SRL0093,0,4,2,1,1,40,3,0,3
SRL0094,0,0,1,2,1,60,2,1,0
SRL0095,0,4,1, ,3,23, , ,4
SRL0096,0,2, , , ,72, , ,0
SRL0097,0,1,3,3,1,21,2,1,4
SRL0098,1,3,2,1,2,67,0,2,6
SRL0099,0,1,1,0,0,27,0,0,4
SRL0100,0,1,0,0,0,31,2,2,3
SRL0101,1,3,2,1,2,66,3,2,0
SRL0102,1,4,0,0,2,39,1,1,0
SRL0103,1,4,1,0, ,45, , ,2
SRL0104,0,4, , , ,46,2,1,2
SRL0105,1,2,1,0,1,27, , ,2
SRL0106,0,4,1,0, ,26,0,0,0
SRL0107,1,3,2,1,2,32,3,2,6
SRL0108,0,3,0,2,1,20,0,1,0
SRL0109,1,4,1,0,2,35,2,1,3
SRL0110,0,2,3,3,0,25,3,1,4
SRL0111,0,4,3,3,3,75,2,1,5
SRL0112,0,1,2,2,2,18,0, ,4
SRL0113,0,3,3,3,3,30,2,1,0
SRL0114,0,1,3,0, ,37,0,0,0
SRL0115,1,4,2,2, ,60,1,1,0
SRL0116,0,1,2,1, ,33,0,0,0
SRL0117,1,3,2,1,1,46,1,1,0
SRL0118,0,4,0,0,0,28,1,1,1
SRL0119,1,1,2,0,2,45, , ,0
SRL0120,0,3,2,0,2,42,1,0,6
SRL0121,0,2,3,3, ,20,0, ,0
SRL0122,0,4,3,0,3,55,3,1,1
SRL0123,1,4,0,0,0,76,2,0,1
SRL0124,1,4,2,0,0,30,0,0,0
SRL0125,1,2,1,1,0,45,3,0,0
SRL0126,1,4,2,1,2,45,0,0,0
SRL0127,0,3,2,1, ,55,1,1,0
SRL0128,1,3,1,0,2,35, , ,4
SRL0129,0,3,2,2,2,81,2,1,0
SRL0130,1,3, , , ,26,3,0,0
SRL0131,1,4,0,0,0,51,1,1,0
SRL0132,1,4,0,0,2,65,2,1,0
SRL0133,1,4,2,1,2,50,2,0,3
SRL0134,0,3,2,2,2,42, , ,0
SRL0135,1,1,1,0, ,20,1,1,0
SRL0136,0,3,2,0,1,23,2,1,5
SRL0137,0,3,2,2, ,27,1,1,4
SRL0138,0,1,3,3,1,52,2,1,0
SRL0139,0,0,3,1,0,68,0,0,0
SRL0140,1,4,1,0,0,47,3,2,3
SRL0141,0,4, , , ,20,0,0,4
SRL0142,0,3,3,3,3,19,3,0,4
SRL0143,0,4,3,1,2,63,3,1,6
SRL0144,1,4,1,1, ,23, , ,3
SRL0145,0,3,1,1,1,42, , ,0
SRL0146,0,3,3,3,1,28,1,1,0
SRL0147,1,4, , , ,26,2,1,0
SRL0148,1,0, , , ,30,1,1,0
SRL0149,1,4,2,2,2,45,3,1,5
SRL0150,0,3,2,1,2,31,0,0,5
SRL0151,1,1,1,0, ,29, , ,0
SRL0152,1,4,2,1, ,40, , ,0
SRL0153,0,3,1,1,2,20,0,0, 
SRL0154,0,2,1,1,2,42,0,0, 
SRL0155,1,3,0,0,0,26,0,0,5
SRL0156,0,3,0,0,0,41,1,1,3
SRL0157,0,3, , , ,23,3,1, 
SRL0158,0,3,2,2,2,38,2,1,4
SRL0159,0,3,2,2, ,54,0,0,0
SRL0160,1,3,1,1, ,34,0,0,0
SRL0161,1,4,2,1,1,45,3,0,3
SRL0162,0,3,2,1,2,55,0,0,0
SRL0163,0,4,0,0,0,42,1,1,5
SRL0164,0,1,1,0, ,31,0,0,0
SRL0165,0,4,2,2,2,52,3,0,2
SRL0166,0,3,2,1,2,80,0,0,1
SRL0167,1,4,0,0, ,35,2,0,3
SRL0168,0,2, , , ,61, , ,0
SRL0169,1,1,3, , ,37,0,0,0
SRL0170,0,3,3,2,1,33,1,1,2
SRL0171,1,3,1,0, ,20,0,1,2
SRL0172,0,4,2,0,1,99,1,0,4
SRL0173,0,4,2,2,1,25,3,0,5
SRL0174,0,4,2,2,1,58,2,0,0
SRL0175,1,3,2,0, , ,0,0,5
SRL0176,1,1, , , ,35,0,0,2
SRL0177,1,4,3,3,3,43,3,2,5
SRL0178,0,3,3,3,2,80,1,1,0
SRL0179,1,4,1,0, ,41,0,1,1
SRL0180,1,4,0,0,0,31,0,0,0
SRL0181,0,4,1,1,2,50,3,1,4
SRL0182,0,1, , , ,38,2,1,4
SRL0183,1,4,0,0, ,30,1,1,0
SRL0184,1,4, , , ,40,0,0,0
SRL0185,0,3,3,3,1,20,1,0,5
SRL0186,0,1,3, ,3,22,0,1,4
SRL0187,0,3,2,0,0,36,0,0,6
SRL0188,0,1,2,0, ,31,0,1,6
SRL0189,1,3,2,2,2,35,2,1,0
SRL0190,0,4, , , ,37,3,0,2
SRL0191,1,4,2,1,1,20,0,0,5
SRL0192,0,4,2, , ,19, , ,4
SRL0193,0,1,3, , ,37,0,0,0
SRL0194,0,0,3,3,3,28,3,2,8
SRL0195,1,3,1,0,0,23,2,1,4
SRL0196,0,4,1,0, ,65,1,1,0
SRL0197,0,3,1, , ,20,0,1,4
SRL0198,0,1, , , ,22,0,0,1
SRL0199,1,3,2, , ,21, , ,4
SRL0200,1,3,2,0, ,29,2,1,6
SRL0201,0,1,3, , ,22,0,0,0
SRL0202,1,4,3,3,3,52,2,1,3
SRL0203,1,4,0,0,0,35,1,0,0
SRL0204,1,4,1,0,0,40,1,1,0
SRL0205,1,1,2,2,2,53,3,2,3
SRL0206,1,3,1,0,0,80,3,1,2
SRL0207,1,4,2,2,2,47, , ,0
SRL0208,0,4,2,2,1,61,2, ,4
SRL0209,1,3,3,3,1,40,3,2,4
SRL0210,0,1,3,1,0,25,2,1,0
SRL0211,1,4,0,0,0,44,1,1,1
SRL0212,1,3,0,0, ,24,0,0,0
SRL0213,1,4,2,0,1,73,3,2,3
SRL0214,1,2,1,1,2,20,3,1,0
SRL0215,0,3, , , ,47,0, ,0
SRL0216,1,4,2,1, ,37,1,1,2
SRL0217,0,4,3,1,1,44,1,1,1
SRL0218,0,1, , , ,31, , ,0
SRL0219,0,4,0,0,2,26,0,0,4
SRL0220,0,4,0,0,0,55,1,1,0
SRL0221,0,3, , , ,80,2,0,0
SRL0222,0,4,2,2,1,45,3,1,0
SRL0223,1,4,2,1, ,55,2,1,0
SRL0224,0,3,2,0, ,35,2,1,0
SRL0225,0,1,3,3,3,26,3,2,8
SRL0226,0,1, , , ,26,0,0,0
SRL0227,1,1,2, , ,25,0,1,5
SRL0228,0,1,1,0,0,38,0,0,5
SRL0229,1,1, , , ,38,0,1,5
SRL0230,1,1,2,2,0,35,0,1,4
SRL0231,1,3,2,2,2,44,2,0,2
SRL0232,0,3,1,0, ,51,2,1,2
SRL0233,0,1,3,3,3,32,3,1,6
SRL0234,0,1,3,3,3,49,0,1,8
SRL0235,0,1,2,1,0,29,1,0,6
SRL0236,1,1,0,0,0,22,0,1,4
SRL0237,1,4,1,0,0,39,1,1,6
SRL0238,1,3,1,0,0,20,3,1,0
SRL0239,1,3,1,0, ,43, , ,4
SRL0240,1,1,2,2,2,40,2,1,4
SRL0241,0,1,3,3,2,33,1,1,6
SRL0242,0,1,3,0,0,48,0,0,0
SRL0243,0,1,0,0,0,35,0,1,5
SRL0244,0,3, , , ,43,0,0,4
SRL0245,1,1, , , ,19,0,0,4
SRL0246,1,2,0,0,0,22,0,0,4
SRL0247,1,3,2,1,2,32,1,0,3
SRL0248,0,1,1,1,1,41, , ,3
SRL0249, , , , , ,60,3,2,5
SRL0250,0,1,3,3,3,28,1,1,6
SRL0251,1,4,1,0,0,73,2,1,1
SRL0252,0,1, , , ,32,0,0,5
SRL0253,0,1,2,0,0,41,3,1,6
SRL0254,0,2,3,3,3,19,3,1,4
SRL0255,1,4,2,1,2,39,3,2,8
SRL0256,0,2, , , ,65, , ,0
SRL0257,0,1,2,0,0,19,0,0,4
SRL0258,0,1,3,3,3,26,2,1,5
SRL0259,1,4,0,0,2,35,1,1,1
SRL0260,1,4,2,2,2,27,0,1,0
SRL0261,0,1,3,3,3,75,2,1,0
SRL0262,1,4, , , ,38,3,0,5
SRL0263,1,1, , , ,30, , ,0
SRL0264,0,1, , , ,19, , ,4
SRL0265,0,1,2,2,2,31,2,1,6
SRL0266,0,3,2,1,1,50,3,1,0
SRL0267,1,1,1,0,1,39,1,1,4
SRL0268,1,4,0,0,0,31,0,1,0
SRL0269,1,3,3,1,0,28,0,0,0
SRL0270,0,4,3,3,1,40,3,2,4
SRL0271,1,3,2,0, ,45, , ,0
SRL0272,1,4,1,1,1,48,3,2,6
SRL0273,1,1,3,3,0,25,0,0,0
SRL0274,1,4,3,3,3,54,3,2,6
SRL0275,0,3,1,0,1,21,0,1,4
SRL0276,0,3,0,0,0,25,2,1,5
SRL0277,0,4,0,0, ,41,3,1,1
SRL0278,0,2,3,3,3,47,2,1,6
SRL0279,1,1, , , ,25,0,0,3
SRL0280,1,3,2,1,2,27, , ,6
SRL0281,1,4, , ,2,58,3,1,2
SRL0282,0,3, , , ,28,0,0,0
SRL0283,1,1,2,0, ,21,0,1,4
SRL0284,1,3,2, , ,19,0,0,0
SRL0285,0,3,3,3,3,27,1,1,4
SRL0286,0,3,3,0,0,45,1,1,1
SRL0287,0,3,1,0, ,64,2,1,0
SRL0288,1,4,2,1, ,49, , ,3
SRL0289,0,1,3,3,3,36,2,1,6
SRL0290,0,1, , , ,22,0,0,0
SRL0291,1,3,2,2,1,23,2, ,4
SRL0293,1,4,1,1,1,42,3,2,2
SRL0294,0,4,0,0, ,46,2,1,0
SRL0295,1,3,2,2,2,38,3,0,4
SRL0296,0,3,2,1,1,46,1,1,2
SRL0297,0,4,2,0,0,48,1,1,4
SRL0298,1,1,3,0,0,34,1,1,1
SRL0299,1,3,3,2,2,43,2,1,0
SRL0300,0,2,1,0,0,42,1,1,0
SRL0302,0,4, , , ,67,0,0,0
SRL0303,1,4,2,2,2,37,2,1,3
SRL0305,0,1,2,2,1,42,1,0,0
SRL0306,0,3,3,2,2,29,3,1,0
SRL0307,0,3,1,3,0,64,3,0,0
SRL0308,0,3,1,1,0,32,3,0,6
SRL0309,1,4,3,3,3,62,3,1,0
SRL0310,1,3,0,0,0,44,0,0,2
SRL0311,0,3,1,0,0,39,3,2,4
SRL0312,0,3,3,1,0,60,0,0,4
SRL0313,0,1,2,0,0,31,2,0,0
SRL0314,0,1,0,0,0,35,3,0,0
SRL0315,1,3,3,2,0,36,2,2,0
SRL0316,0,3,2,1,1,41,2,1,0
SRL0317,0,3,3,1,1,47,0,0,0
SRL0318,1,4,3,1,3,45,0,0,0
SRL0319,0,3,3, , ,38,0,0,0
SRL0320,1,3,3,1,3,30,3,2,4
SRL0321,0,3,3,3,3,50,0,2,1
SRL0322,1,1,3,0,1,35,3,2,0
SRL0323,0,3,2,2,2,81,3,1,0
SRL0324,1,1,2,1,0,47,3,1,0
SRL0325,1,3,3,0,2,50,3,1,0
SRL0326,1,1,3,2,1,55,0,0,0
SRL0327,0,4,1,1,1,68,0,0,0
SRL0328,1,4,1,1,1,36,3,1,0
SRL0329,0,2,1,1,1,81,1,1,0
SRL0330,1,3,0,0,0,48,3,1,0
SRL0331,0,3,0,0,0,64,3,0,0
SRL0332,1,3,2,2,1,34,2,1,0
SRL0333,0,3,3,1,0,40,3,1,0
SRL0334,0,1,0,0,0,42,3,2,1
SRL0335,0,3,3,0,3,60,3,0,1
SRL0336,0,3,1,0,0,24,0,2,2
SRL0337,0,3,2,2,2,24,2,1,2
SRL0338,1,3,2,1,2,41,2,1,0
SRL0339,0,3,1,1,1,68,0,0,0
SRL0340,0,4,3,3,2,55,1,1,0
SRL0341,1,1,3,3, ,29,3,1,4
SRL0342,0,3,3,3,3,90,3,2,0
SRL0343,1,3,0,0,0,40,0,0,0
SRL0344,0,3,1,1,2,54,3,1,3
SRL0345,0,4,2,1,1,54,1,1,6
SRL0346,0,3,0,0,0,45,0,2,2
SRL0347,1,3,3,2,3,65,2,1,0
SRL0348,0,1,3,3,1,30,3,2,0
SRL0349,0,3,3,0,0,72,0,0,2
SRL0350,0,3,2,0,0,42,3,1,1
SRL0351,0,3,2,2,2,18,3,2,0
SRL0352,0,4,1,1,1,80,0,0,0
SRL0353,0,3,2,0,0,45,3,0,0
SRL0354,0,3,3,2, ,55,3,0,1
SRL0355,0,1,2,0,0,30,0,0,0
SRL0356,0,3,1,2,1,30,3,0,6
SRL0357,1,2,0,0,2,41,2,1,0
SRL0358,1,3,1,0,2,40,2,1,0
SRL0359,1,4,3,3,2,57,3,1,0
SRL0360,0,4,3,1,1,40,2,1,0
SRL0361,0,1,2,2,1,39,1,1,0
SRL0362,0,3,2,2,2,75,3,1,1
SRL0363,1,2,3,2,0,21,1,1,4
SRL0364,1,3,3,2,1,30,3,2,0
SRL0365,0,3,1,1,1,70,0,0,0
SRL0366,1,4,3,1,1,45,3,1,0
SRL0367,0,3,3,1,0,47,3,2,0
SRL0368,0,3,1, , ,25,0,0,2
SRL0369,0,3,3,1,0,40,0,0,6
SRL0370,1,3,1,1,2,36,1,0,4
SRL0371,1,3,3,0,1,85,3,1,0
SRL0372,1,3,1,2,0,50,2,1,1
SRL0373,0,3,3,3,2,70,2,1,0
SRL0374,1,4,3,1,1,45,0,0,0
SRL0375,1,3,0,0,0,40,3,2,2
SRL0376,0,3,2,0,0,72,0,0,1
SRL0377,0,3, ,0,2,45,0,0,0
SRL0378,1,2,3,2,0,36,0,0,5
SRL0379,0,3,0,0,0,75,3,2,0
SRL0380,1,4,3,2,2,50,3,2,0
SRL0381,1,4,0,0,0,37,1,1,0
SRL0382,1,3,0,0,3,50,3,2,0
SRL0383,1,3,1,0,0,38,3,2,0
SRL0384,0,2,2,2,0,67,3,1,1
SRL0385,0,2,2,2,2,54,1,0,0
SRL0386,1,3,3,3,2,68,3,2,4
SRL0387,1,1,3,3,1,23,3,1,4
SRL0388,1,1,3,2,0,38,0,0,2
SRL0389,1,3,2,2,2,55,0,0,0
SRL0390,0,3,3,3,1,79,0,0,0
SRL0391,0,3,3,0,3,46,3,2,5
SRL0392,0,3,3, ,0,45,3,2,0
SRL0393,0,3,3,3,3,44, , ,0
SRL0394,0,3,3,2,3,55,0,0,0
SRL0395,1,3,3,1,0,55, , ,0
SRL0396,1,3,0,0,0,82,0,0,0
SRL0397,0,4,3,2,2,45,0,0,2
